Date,Price
01.01.2017,"3,7724"
01.02.2017,"3,6462"
01.03.2017,"3,6342"
01.04.2017,"3,5506"
01.05.2017,"3,5240"
01.06.2017,"3,5202"
01.07.2017,"3,5183"
01.08.2017,"3,4517"
01.09.2017,"3,5627"
01.10.2017,"3,7910"
01.11.2017,"3,9170"
01.12.2017,"3,7890"
01.01.2018,"3,7543"
01.02.2018,"3,7978"
01.03.2018,"3,9542"
01.04.2018,"4,0607"
01.05.2018,"4,5235"
01.06.2018,"4,5862"
01.07.2018,"4,9098"
01.08.2018,"6,5180"
01.09.2018,"6,0550"
01.10.2018,"5,5793"
01.11.2018,"5,2118"
01.12.2018,"5,2877"
01.01.2019,"5,1606"
01.02.2019,"5,3341"
01.03.2019,"5,5405"
01.04.2019,"5,9617"
01.05.2019,"5,8372"
01.06.2019,"5,7873"
01.07.2019,"5,5854"
01.08.2019,"5,8296"
01.09.2019,"5,6479"
01.10.2019,"5,7065"
01.11.2019,"5,7460"
01.12.2019,"5,9479"
01.01.2020,"5,9812"
01.02.2020,"6,2387"
01.03.2020,"6,6110"
01.04.2020,"6,9829"
01.05.2020,"6,8182"
01.06.2020,"6,8500"
01.07.2020,"6,9702"
01.08.2020,"7,3466"
01.09.2020,"7,7157"
01.10.2020,"8,3448"
01.11.2020,"7,8284"
01.12.2020,"7,4320"
01.01.2021,"7,3099"
01.02.2021,"7,4226"
01.03.2021,"8,2439"
01.04.2021,"8,2735"
01.05.2021,"8,4808"
01.06.2021,"8,7037"
01.07.2021,"8,4333"
01.08.2021,"8,3045"
01.09.2021,"8,8862"
01.10.2021,"9,6030"
01.11.2021,"13,4732"
01.12.2021,"13,3161"
01.01.2022,"13,3074"
01.02.2022,"13,8443"
01.03.2022,"14,6700"
01.04.2022,"14,8416"
01.05.2022,"16,3748"
01.06.2022,"16,6933"
01.07.2022,"17,9114"
01.08.2022,"18,1868"
01.09.2022,"18,5000"
01.10.2022,"18,5920"
01.11.2022,"18,5895"
01.12.2022,"18,6883"
01.01.2023,"18,8064"
01.02.2023,"18,8761"
01.03.2023,"19,1582"
01.04.2023,"19,4478"
01.05.2023,"20,7973"
01.06.2023,"26,0461"
01.07.2023,"26,8955"
01.08.2023,"26,6502"
01.09.2023,"27,3712"
01.10.2023,"28,2752"
01.11.2023,"28,8552"
01.12.2023,"29,4766"
01.01.2024,"30,3151"
01.02.2024,"31,1883"
01.03.2024,"32,3460"
01.04.2024,"32,4007"
01.05.2024,"32,2322"
01.06.2024,"32,6485"
01.07.2024,"33,1401"
01.08.2024,"34,0711"
01.09.2024,"34,1605"
01.10.2024,"34,2540"
